snapped_at,price,market_cap,total_volume
2022-07-11 00:00:00 UTC,2.7978623186220193,152920657.1090238,296815.0411125818
2022-07-12 00:00:00 UTC,2.585244656045751,141300431.81809315,801880.577491133
2022-07-13 00:00:00 UTC,2.5243866048696635,137264667.05811983,383753.4048973403
2022-07-14 00:00:00 UTC,2.525408611422119,138468612.70731503,488100.73435950984
2022-07-15 00:00:00 UTC,2.798998156555282,153936347.01976416,675605.0730453598
2022-07-16 00:00:00 UTC,2.8203576728121127,154981030.87582615,471014.13671317033
2022-07-17 00:00:00 UTC,2.893358180578974,159420364.21511155,329596.34149693936
2022-07-18 00:00:00 UTC,2.8275602007338345,157558871.93271086,374771.53224477003
2022-07-19 00:00:00 UTC,3.1403767570002192,172723272.56815055,938110.0703346591
2022-07-20 00:00:00 UTC,3.478706328087752,192232230.51403242,771397.2652426905
2022-07-21 00:00:00 UTC,3.2601493213980155,180645938.66722327,923121.1260980724
2022-07-22 00:00:00 UTC,3.6258594841828904,201161557.81778875,1152561.7923083766
2022-07-23 00:00:00 UTC,3.5237516425343887,195682490.6847976,1183956.778869234
2022-07-24 00:00:00 UTC,3.3920607869624164,189068945.12377858,741982.6110436816
2022-07-25 00:00:00 UTC,3.5518457078906773,198468388.5259607,1099155.9552659239
2022-07-26 00:00:00 UTC,3.2430315911807903,182788935.19284824,1104251.6840769188
2022-07-27 00:00:00 UTC,3.2969684962863464,184299217.99834257,644134.3552331699
2022-07-28 00:00:00 UTC,3.7442751744252614,209858789.31068936,899996.6634327782
2022-07-29 00:00:00 UTC,4.176688693458885,232990512.8301556,1148260.1799990349
2022-07-30 00:00:00 UTC,4.2750692433536015,240554763.06946337,1244519.203425511
2022-07-31 00:00:00 UTC,4.467639576428062,250377849.252374,1854331.9693057046
2022-08-01 00:00:00 UTC,4.275825408354372,239247684.47332022,1150907.8032283625
2022-08-02 00:00:00 UTC,4.2602465492254264,236849118.40118247,861490.2645192015
2022-08-03 00:00:00 UTC,4.199798175254955,236549364.44765335,1006169.1314199007
2022-08-04 00:00:00 UTC,4.441758145876148,249485799.82249638,1190659.6641793847
2022-08-05 00:00:00 UTC,4.5621052451290725,255869119.6766652,756310.5929575762
2022-08-06 00:00:00 UTC,4.944794556343403,279267360.7987052,1057741.0185904473
2022-08-07 00:00:00 UTC,4.9543143256264335,280244926.18695015,784329.6609699797
2022-08-08 00:00:00 UTC,5.54339234074328,313934470.39181584,1142481.6996270095
2022-08-09 00:00:00 UTC,5.81087254569886,329470365.5663569,1124441.1361017758
2022-08-10 00:00:00 UTC,5.6730387050235915,323564895.5812936,1094855.276397543
2022-08-11 00:00:00 UTC,5.9769543079980405,339542905.80814123,1195799.5887319837
2022-08-12 00:00:00 UTC,5.771591690762281,329098057.154495,1325296.0852312911
2022-08-13 00:00:00 UTC,6.109900711061079,348035588.5812958,1399087.7580769428
2022-08-14 00:00:00 UTC,6.078957128371387,347979879.9484826,1105850.8358195024
2022-08-15 00:00:00 UTC,5.940887080187215,338892093.13154,815205.36814813
2022-08-16 00:00:00 UTC,5.793149952010751,331564661.35345256,991629.0356180214
2022-08-17 00:00:00 UTC,5.868602682155367,336031009.3248854,788356.6104427105
2022-08-18 00:00:00 UTC,6.103028416622404,345218959.6201028,964542.7708219406
2022-08-19 00:00:00 UTC,6.0778148561896534,348503899.9696176,872630.1300483254
2022-08-20 00:00:00 UTC,5.5899653134144005,321991492.95208895,1553414.2631283277
2022-08-21 00:00:00 UTC,5.24484298727559,302429348.0350234,837313.4211587949
2022-08-22 00:00:00 UTC,5.411937393721032,311679722.02302104,877901.6371585065
2022-08-23 00:00:00 UTC,5.465302381095858,315428571.86602336,937826.2889792471
2022-08-24 00:00:00 UTC,5.704865740392156,329686594.36757785,1154240.6113346682
2022-08-25 00:00:00 UTC,5.769462648088806,333750078.6615617,1538889.686993495
2022-08-26 00:00:00 UTC,6.1320400237986545,355390467.71445346,1664481.2966697605
2022-08-27 00:00:00 UTC,5.439768081543516,314655102.78969914,959700.2263105911
2022-08-28 00:00:00 UTC,5.3381919125646125,310091436.20439225,540646.7421478239
2022-08-29 00:00:00 UTC,5.153904996544382,299443399.22579986,523304.10530306963
2022-08-30 00:00:00 UTC,5.289700581756388,308105053.1044094,681572.036297493
2022-08-31 00:00:00 UTC,5.400280279952196,315063912.6377451,649622.1277876006
2022-09-01 00:00:00 UTC,5.266675178954185,307888041.20100385,587869.239103941
2022-09-02 00:00:00 UTC,5.394082385078589,316769856.04677284,1012309.5503051212
2022-09-03 00:00:00 UTC,5.2370593233806595,305231037.1647781,578908.9652473027
2022-09-04 00:00:00 UTC,5.113515110361401,300433960.3922999,656016.8467766143
2022-09-05 00:00:00 UTC,5.176783140927438,303876597.611518,675482.793598206
2022-09-06 00:00:00 UTC,5.041438649581872,296742248.4282725,617159.8865811727
2022-09-07 00:00:00 UTC,4.644530479733565,273486764.5568585,1125283.0677949458
2022-09-08 00:00:00 UTC,5.006854375203687,294794272.2840661,860181.781383344
2022-09-09 00:00:00 UTC,5.150626183340423,303950362.33310866,1294744.1206522854
2022-09-10 00:00:00 UTC,5.551829689274849,327919725.01873887,2292453.458298444
2022-09-11 00:00:00 UTC,5.752836302349615,339539960.90677005,1314070.680774497
2022-09-12 00:00:00 UTC,5.740971990323322,337876377.7905154,1276579.386851938
2022-09-13 00:00:00 UTC,5.637549599510536,334239204.84848154,1387235.8853208548
2022-09-14 00:00:00 UTC,5.172465136999708,306685782.05705476,1160812.7818061772
2022-09-15 00:00:00 UTC,5.182412405067081,305341435.3478454,866807.7218414743
2022-09-16 00:00:00 UTC,5.342163561935193,319008813.08642626,1358716.637206518
2022-09-17 00:00:00 UTC,5.696080259007155,339616489.0376669,1057162.3636696928
2022-09-18 00:00:00 UTC,5.746748022806121,342402100.01913285,709864.5129805572
2022-09-19 00:00:00 UTC,5.341089092066862,318955453.1394048,795384.7450475472
